Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
50,31551,,31551,,31551,Panayiotis Papadopoulos,,Aerospace Engineering,2,001,Credit,Non-Letter Grade,Pass,Aero Eng 2 Seminar
4,32936,,32936,,32936,Philip Marcus; Aaron Berliner; Koushil Sreenath,,Aerospace Engineering,10,001,A,Letter Grade,A+,Intro Aerosp Design
7,32936,,32936,,32936,Philip Marcus; Aaron Berliner; Koushil Sreenath,,Aerospace Engineering,10,001,A,Letter Grade,A,Intro Aerosp Design
4,32936,,32936,,32936,Philip Marcus; Aaron Berliner; Koushil Sreenath,,Aerospace Engineering,10,001,Credit,Non-Letter Grade,Pass,Intro Aerosp Design
16,32937,,32937,,32937,Lawrence Kuznetz,,Aerospace Engineering,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
1,32937,,32937,,32937,Lawrence Kuznetz,,Aerospace Engineering,24,001,No Credit,Non-Letter Grade,Not Pass,Freshman Seminars
21,33757,,33757,,33757,Panayiotis Papadopoulos; Aneesh Goel; Snehaa Ganesh Kumar,,Aerospace Engineering,198,01,Credit,Non-Letter Grade,Pass,Directed Group Stud
3,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,A,Letter Grade,A+,Found Us Air Force
6,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,A,Letter Grade,A,Found Us Air Force
5,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,A,Letter Grade,A-,Found Us Air Force
1,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,B,Letter Grade,B+,Found Us Air Force
1,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,C,Letter Grade,C-,Found Us Air Force
2,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,Credit,Non-Letter Grade,Pass,Found Us Air Force
1,25344,,25344,,25344,Megan Haley,,Aerospace Studies,1A,002,No Credit,Non-Letter Grade,Not Pass,Found Us Air Force
1,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,A,Letter Grade,A+,Found Us Air Force
2,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,A,Letter Grade,A,Found Us Air Force
1,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,A,Letter Grade,A-,Found Us Air Force
2,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,B,Letter Grade,B+,Found Us Air Force
2,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,B,Letter Grade,B,Found Us Air Force
1,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,C,Letter Grade,C+,Found Us Air Force
1,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,C,Letter Grade,C-,Found Us Air Force
1,20878,,20878,,20878,Megan Haley,,Aerospace Studies,1B,001,Credit,Non-Letter Grade,Pass,Found Us Air Force
7,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,A,Letter Grade,A+,Found Us Air Force
5,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,A,Letter Grade,A,Found Us Air Force
8,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,A,Letter Grade,A-,Found Us Air Force
1,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,B,Letter Grade,B+,Found Us Air Force
1,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,D,Letter Grade,D,Found Us Air Force
2,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,F,Letter Grade,F,Found Us Air Force
1,23949,,23949,,23949,Megan Haley,,Aerospace Studies,1B,002,Credit,Non-Letter Grade,Pass,Found Us Air Force
7,20880,,20880,,20880,Michael Kraft,,Aerospace Studies,2B,001,A,Letter Grade,A+,Evolut Of Air Power
12,20880,,20880,,20880,Michael Kraft,,Aerospace Studies,2B,001,A,Letter Grade,A,Evolut Of Air Power
1,20880,,20880,,20880,Michael Kraft,,Aerospace Studies,2B,001,B,Letter Grade,B,Evolut Of Air Power
1,20880,,20880,,20880,Michael Kraft,,Aerospace Studies,2B,001,F,Letter Grade,F,Evolut Of Air Power
2,20880,,20880,,20880,Michael Kraft,,Aerospace Studies,2B,001,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
6,23950,,23950,,23950,Michael Kraft,,Aerospace Studies,2B,002,A,Letter Grade,A+,Evolut Of Air Power
25,23950,,23950,,23950,Michael Kraft,,Aerospace Studies,2B,002,A,Letter Grade,A,Evolut Of Air Power
4,23950,,23950,,23950,Michael Kraft,,Aerospace Studies,2B,002,Credit,Non-Letter Grade,Pass,Evolut Of Air Power
65,20881,,20881,,20881,Michael Kraft; Shawn Whitney; Megan Haley,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,20881,,20881,,20881,Michael Kraft; Shawn Whitney; Megan Haley,,Aerospace Studies,100,001,No Credit,Non-Letter Grade,Not Pass,Leadership Lab
9,20882,,20882,,20882,Shawn Whitney,,Aerospace Studies,135B,001,A,Letter Grade,A,Air Force Studies
